number,area,grade,color,dateSet,attempts,sends,flashed,project,notes
155,Corridor,VB,Red,8/6/2019,0,0,,,
156,Corridor,V8,Purple,8/6/2019,0,0,,,
157,Corridor,V1,Pink,8/6/2019,0,0,,,
158,Corridor,V1,Orange,8/6/2019,0,0,,,
159,Corridor,V2,White,8/6/2019,0,0,,,
160,Corridor,V5,Green,8/6/2019,0,0,,,
161,Corridor,V6,Yellow,8/6/2019,0,0,,,
162,Corridor,V3,Purple,8/6/2019,0,0,,,
163,Corridor,V0,Purple,8/6/2019,0,0,,,
164,Corridor,V4,Blue,8/6/2019,0,0,,,
165,Corridor,V4,Pink,8/6/2019,0,0,,,
166,Corridor,V7,Yellow,8/6/2019,0,0,,,
167,Corridor,V5,Red,8/6/2019,0,0,,,
168,Corridor,V2,Yellow,8/6/2019,0,0,,,
170,Corridor,V6,Black,8/6/2019,0,0,,,
171,Corridor,V8,Orange,8/6/2019,0,0,,,
172,Corridor,V0,Green,8/6/2019,0,0,,,
173,Corridor,V2,Green,8/6/2019,0,0,,,
174,Corridor,V7,White,8/6/2019,0,0,,,
175,Corridor,V0,Blue,8/6/2019,0,0,,,
176,Cave,V1,Green ,8/13/2019,0,0,,,
178,Cave,V3,Yellow,8/13/2019,0,0,,,
179,Cave,V3,Purple,8/13/2019,0,0,,,
180,Cave,V3,Pink ,8/13/2019,0,0,,,
181,Cave,V4,Red,8/13/2019,0,0,,,
182,Cave,V3,Black,8/13/2019,0,0,,,
183,Cave,V5,Orange,8/13/2019,0,0,,,
184,Cave,V4,Orange,8/13/2019,0,0,,,
185,Cave,V6,Pink,8/13/2019,0,0,,,
187,Cave,V7,Purple,8/13/2019,0,0,,,
188,Cave,V6,Yellow,8/13/2019,0,0,,,
189,Cave,V7,Blue,8/13/2019,0,0,,,
190,Cave,V8,Black ,8/13/2019,0,0,,,
191,Cave,V6,Green,8/13/2019,0,0,,,
192,Cave,V8,Red,8/13/2019,0,0,,,
193,Cave,V8,Yellow,8/13/2019,0,0,,,
194,Cave,V8,White ,8/13/2019,0,0,,,
195,Cave,V10,Green ,8/13/2019,0,0,,,
197,West Wall,V4,Pink,8/17/2019,0,0,,,
196,West Wall,V5,White,8/17/2019,0,0,,,
198,West Wall,V4,Blue,8/17/2019,0,0,,,
199,West Wall,V4,Orange,8/17/2019,0,0,,,
200,West Wall,V7,Yellow,8/17/2019,0,0,,,
201,West Wall,V3,Green,8/17/2019,0,0,,,
202,West Wall,V4,Purple,8/17/2019,0,0,,,
203,West Wall,V6,Red,8/17/2019,0,0,,,
204,West Wall,V5,Pink,8/17/2019,0,0,,,
205,West Wall,V5,Yellow,8/17/2019,0,0,,,
206,West Wall,V1,Black ,8/20/2019,0,0,,,
207,West Wall,V1,Black,8/20/2019,0,0,,,
208,West Wall,V8,Purple,8/20/2019,0,0,,,
209,West Wall,V5,White,8/20/2019,0,0,,,
210,West Wall,V3,Blue,8/20/2019,0,0,,,
211,West Wall,V2,Green,8/20/2019,0,0,,,
212,West Wall,V5,Yellow,8/20/2019,0,0,,,
213,South West,V2,Pink,8/27/2019,0,0,,,
214,South West,V3,Purple,8/27/2019,0,0,,,
215,South West,V0,Yellow,8/27/2019,0,0,,,
216,South West,V1,White,8/27/2019,0,0,,,
217,South West,V3,Green,8/27/2019,0,0,,,
218,South West,V5,Red,8/27/2019,0,0,,,
219,South East,V5,Green,8/27/2019,0,0,,,
220,South East,V5,Blue,8/27/2019,0,0,,,
221,South East,V6,Black,8/27/2019,0,0,,,
222,South East,V5,Yellow,8/27/2019,0,0,,,
223,South East,V7,Orange,8/27/2019,0,0,,,
224,South East,V8,Yellow,8/27/2019,0,0,,,
225,South East,V8,Red,8/27/2019,0,0,,,
226,South East,V9,White,8/27/2019,0,0,,,
227,South East,V9,Purple,8/27/2019,0,0,,,
228,South West,V0,Orange,9/3/2019,0,0,,,
229,South East,V0,Red,9/3/2019,0,0,,,
230,South West,V1,Purple,9/3/2019,0,0,,,
231,South West,V2,Purple,9/3/2019,0,0,,,
232,South East,V2,Blue,9/3/2019,0,0,,,
233,South West,V3,Pink,9/3/2019,0,0,,,
234,South West,V5,Yellow,9/3/2019,0,0,,,
235,South East,V4,Yellow,9/3/2019,0,0,,,
236,South West,V4,Blue,9/3/2019,0,0,,,
237,South West,V6,White,9/3/2019,0,0,,,
238,South Eas,V5,Orange,9/3/2019,0,0,,,
239,South West,V7,Purple,9/3/2019,0,0,,,
240,South West,V9,Green,9/3/2019,0,0,,,
241,South West,V8,Yellow,9/3/2019,0,0,,,
242,South West,V8,Black ,9/3/2019,0,0,,,
243,North East,V1,Black ,9/10/2019,0,0,,,
244,North East,V2,Orange,9/10/2019,0,0,,,
245,North East,V1,Green ,9/10/2019,0,0,,,
246,North East,V3,Blue,9/10/2019,0,0,,,
247,North East,V3,Red,9/10/2019,0,0,,,
248,North East,V2,Green,9/10/2019,0,0,,,
249,North East,V4,Blue,9/10/2019,0,0,,,
250,North East,V4,Pink,9/10/2019,0,0,,,
251,North East,V5,Pink,9/10/2019,0,0,,,
252,North East,V5,Orange,9/10/2019,0,0,,,
253,North East,V6,White,9/10/2019,0,0,,,
254,North East,V6,Purple,9/10/2019,0,0,,,
255,North East,V7,White,9/10/2019,0,0,,,
256,North East,V8,Orange,9/10/2019,0,0,,,
257,North East,V8,Purple,9/10/2019,0,0,,,
258,North East,V9,Yellow,9/10/2019,0,0,,,
259,North East,V0,Yellow,9/10/2019,0,0,,,
260,Top Rope,WCW,Purple,9/10/2019,0,0,,,
261,Top Rope,WCW,White,9/10/2019,0,0,,,
262,Slab,VB,Yellow,9/17/2019,0,0,,,
263,Slab,V0,Yellow,9/17/2019,0,0,,,
264,Slab,V1,Purple,9/17/2019,0,0,,,
265,Slab,V1,Green,9/17/2019,0,0,,,
266,Slab,V2,Green,9/17/2019,0,0,,,
267,Slab,V5,Orange,9/17/2019,0,0,,,
268,Slab,V4,White,9/17/2019,0,0,,,
269,Slab,V4,Red,9/17/2019,0,0,,,
270,Slab,V4,Purple,9/17/2019,0,0,,,
271,Slab,V3,Yellow,9/17/2019,0,0,,,
272,Slab,V5,Red,9/17/2019,0,0,,,
273,Slab,V6,Purple,9/17/2019,0,0,,,
274,Slab,V7,Blue,9/17/2019,0,0,,,
275,Slab,V5,Pink,9/17/2019,0,0,,,
276,Top Rope,WCW,Pink,9/17/2019,0,0,,,
280,Top Rope,WCW,Blue,9/17/2019,0,0,,,
278,Slab,V5,Green,9/17/2019,0,0,,,
